구역,이름,구글맵링크,좌표,비고
홍대,하카타나카,https://maps.app.goo.gl/g1yayDcM9KiC533o8,"37.55511574873105, 126.9236748394721","난반 카라아게"
홍대,라무라,https://maps.app.goo.gl/Z6Tz38CCBDGD4JvR7,"37.549973329877155, 126.90859842598051","라멘"
홍대,오레노라멘,https://maps.app.goo.gl/JwgC7w6vZdRjCYdU6,"37.547412386504035, 126.9178108971443","라멘"
홍대,마시타야,https://maps.app.goo.gl/MBPwsZpC4PMbM9e4A,"37.55488875460494, 126.92665211248982","라멘"
홍대,비스트로큐슈,https://maps.app.goo.gl/8eJ44gMurJMqda8J6,"37.5543294113647, 126.9299459971447","야끼카레"
홍대,우와,https://maps.app.goo.gl/wfKRAVNnMsUxUz9p6,"37.55202233374002, 126.9221193848162","야끼소바 오코노미야끼. 가격대 있고 대기 있음"
홍대,부탄츄,https://maps.app.goo.gl/kim4xTtGFzSSBpui6,"37.5565616996648, 126.9267660836536","라멘 무난함"
홍대,크레이지카츠,https://maps.app.goo.gl/toouJPpmMveM1H5E9,"37.550625497910296, 126.9096746106358","돈까스"
홍대,라사,https://maps.app.goo.gl/gJK6uujbxusQfcNXA,"37.55156000746691, 126.90781381248979","커리. 양 많고 이국적. 고수 향 잘 씀"
홍대,모미모미,https://maps.app.goo.gl/Pkctt66uhc6nCX1GA,"37.55530748668759, 126.92898812598095","사케동 외 무난함"
홍대,세상끝의라멘,https://maps.app.goo.gl/bDdJtayGJ9QTPPjp8,"37.55169358946864, 126.91521979714452","라멘 무난함"
홍대,무야호랜드,https://maps.app.goo.gl/PXQbdkDHUnUMYwe48,"37.556240205911756, 126.92393515296335","야키니쿠. 고기랑 술 먹기 좋음. 가격대 있음"
홍대,멘타카무쇼,https://place.map.kakao.com/1380652585,"37.55157686027552, 126.9238160259808","라멘 (위치 이전 확인 필요)"
홍대,최강금돈까스,https://maps.app.goo.gl/NFeS3E8qh5DVVz827,"37.550025881134786, 126.91095901248953","합정 돈까스 맛집"
홍대,하쿠텐,https://maps.app.goo.gl/CJKvy6XA18SUQss17,"37.56297315453148, 126.92583585481769","연남동 이에케라멘 맛집"
홍대,무겐스위치,https://maps.app.goo.gl/z2GHoaGt36VTaQNh9,"37.56158670968809, 126.92520364132635","연남동 이에케라멘 맛집"
홍대,나랑가,https://maps.app.goo.gl/XiQn2v21hzY9amWs8,"37.560238374867026, 126.91562823947231","초밥 일식"
홍대,담택,https://maps.app.goo.gl/zh3jPc7zzPEoGf8n6,"37.55462336060158, 126.91513912598091","라멘"
홍대,사루카메,https://maps.app.goo.gl/JV9jiCVoqSK2vLBx8,"37.56126070117364, 126.92267739714501","라멘"
홍대,이스트사이드치킨샌드위치,https://maps.app.goo.gl/NHTMdavqvgCy45yK9,"37.56020251427054, 126.92152955481745","버거"
홍대,더리얼치즈버거,https://maps.app.goo.gl/gZsPSWHMre1deHtn9,"37.55646811060288, 126.92771296830843","버거"
홍대,버거리,https://maps.app.goo.gl/RyrkQJ6aWLsDTikz6,"37.55616506967784, 126.9237139591861","버거"
홍대,무쏘,https://maps.app.goo.gl/V2CkBPQEaVHiWKeD9,"37.556314973565506, 126.92441455481737","소고기 무한리필. 육회 새우 리필 제한 확인 필요"
홍대,김덕후의곱창조,https://maps.app.goo.gl/aiSpcB51RayPSkpG9,"37.54936821044298, 126.92248162891694","유명한 곱창집"
홍대,평안도상원냉면,https://maps.app.goo.gl/DBoMXy9MsbQPtv5r5,"37.55627219509596, 126.92338210878202","평양냉면"
홍대,피자몰(신촌점),https://maps.app.goo.gl/3uJVwu8zFR61yRvP8,"37.555127187119844, 126.93606599714467","피자뷔페. 사이드 메뉴 추천"
홍대,썬키친,https://maps.app.goo.gl/s6iPi613RbjeXXxj9,"37.54888243311429, 126.91692235296323","양식"
홍대,진진,https://maps.app.goo.gl/ze9RVDwjBK2YG3Er7,"37.554089190559694, 126.91840481357184","미슐랭 1스타 중식. 멘보샤 추천. 짜장면 없음"
홍대,티에리스티라운지,https://maps.app.goo.gl/wpbDJQ9ZBYDTawRa6,"37.548129216472915, 126.915654354817","경치 좋은 티라운지. 여의도 조망"
홍대,클럽에반스,https://maps.app.goo.gl/ivPLE9p27Ydx1XdY7,"37.550473292254395, 126.9229751259808","재즈클럽"
서울,루나아시아,https://maps.app.goo.gl/pNEZBAqhP6wrYXbR9,"37.51003489515548, 127.05661509714301","인도요리 (삼성역)"
서울,킹케밥 포스코센터점,https://maps.app.goo.gl/HrJhbtCRGXFSdP9M6,"37.51424697525992, 127.05612310516135","터키음식 (삼성역)"
서울,허머스키친 삼성점,https://maps.app.goo.gl/sLPvSuyVVj8nUkP27,"37.509632781589076, 127.06170529714305","중동음식 (코엑스)"
서울,중앙해장,https://maps.app.goo.gl/eJZCq5wAcAU1K7VV7,"37.50848358805979, 127.06545706830671","해장국 (삼성역)"
서울,풀향기,https://maps.app.goo.gl/HvLdiqDSpT6B1wzv9,"37.51065950048279, 127.06278182706303","한식뷔페 (삼성역)"
서울,밥스키친,https://maps.app.goo.gl/7Cu5HAQZAtNzrLvW6,"37.508864519495255, 127.05829058179798","한식뷔페 (삼성역)"
서울,삼백플러스,https://maps.app.goo.gl/GYX9jPh6riYdzXsMA,"37.507222390936064, 127.05616728550544","한식뷔페 (삼성역)"
서울,하동관 코엑스점,https://maps.app.goo.gl/7PHBHWBkBBbunQkJ8,"37.51129996066095, 127.05989650270476","곰탕 (코엑스)"
서울,보노보노플러스 삼성점,https://maps.app.goo.gl/UuS9M8Xtpr3Ek2og6,"37.50701960237581, 127.05814741248795","해산물뷔페"
서울,도명골청국장,https://maps.app.goo.gl/2n6PGxFwi1hGg48SA,"37.51286956056727, 127.06540555481547","한식"
서울,시추안하우스,https://maps.app.goo.gl/hw5zDgDLfeKNsmLm8,"37.51540673991247, 127.06027373914439","중화요리"
서울,팀호완,https://maps.app.goo.gl/eQLKDZdoY7Q7HbTz8,"37.516711094531715, 127.05855699445085","중화요리"
서울,비야게레로,https://maps.app.goo.gl/JX4C1YHC9oRdAcUJ7,"37.51211595898596, 127.05282711248829","타코 맛집 (삼성중앙역)"
서울,크라이치즈버거 삼성역점,https://maps.app.goo.gl/42cfFwibbVkPP4FJ8,"37.509221486376966, 127.06525421063405","버거. 애니멀스타일 추가 추천"
서울,부타이 1막,https://maps.app.goo.gl/X4FYguosG1DKhSPY9,"37.5063815260069, 127.06010677016036","돈까스. 카츠산도 추천"
서울,후레쉬빌,https://maps.app.goo.gl/Nv6WiG6h9mtAf2or6,"37.50839656662037, 127.06618683761656","돈까스 오므라이스 추천"
서울,백암순대국,https://maps.app.goo.gl/jsvk84WULPg8HM6t9,"37.502061887421895, 126.85793792916898",괜춘함
서울,도원,https://maps.app.goo.gl/BEHNqwHH2wtCd5JW7,"37.46560555852134, 126.88804538316889",강추함
